province,gdp,illiteracy,poverty,deficient_infra,school_dropout,no_healthcare,birth_mortal,pop,movie_theatres_per_cap,doctors_per_cap
Buenos Aires,292689868,1.38324,8.167797642,5.51185587,0.76616824,48.7947,4.4,15625084,6.02E-06,0.004835622
Catamarca,6150949.159,2.34414,9.23409512,10.46448427,0.951963066,45.0456,1.5,367828,5.44E-06,0.004502104
Córdoba,69363739.19,2.71414,5.38238027,10.43608631,1.035055784,45.764,4.8,3308876,1.12E-05,0.010175359
Corrientes,7968012.982,5.60242,12.74719066,17.4388583,3.864265225,62.1103,5.9,992595,4.03E-06,0.004495288
Chaco,9832642.672,7.51758,15.86261922,31.47952729,2.57746208,65.5104,7.5,1055259,2.84E-06,0.003604802
Chubut,17747854.21,1.54806,8.051752204,8.044617724,0.586309424,39.5473,3,509108,1.57E-05,0.004498063
Entre Ríos,20743409.1,3.18558,7.288751099,18.79456842,1.88718809,48.6571,3.1,1235994,5.66E-06,0.004678825
Formosa,3807057.419,4.61064,17.03558321,28.00498455,2.268974098,65.8126,16.2,530162,3.77E-06,0.003440458
Jujuy,6484938.334,2.15139,13.36796514,12.48317874,0.721294504,54.1615,3.7,673307,2.97E-06,0.003958076
La Pampa,6990262.458,1.5393,3.398773696,16.5057144,0.204093366,45.4764,7.2,318951,1.88E-05,0.005414625
La Rioja,5590515.628,2.77321,10.87515183,7.403254316,3.84494945,40.8341,11.4,333642,1.20E-05,0.005092285
Mendoza,33431369.11,2.2002,5.69279843,3.83985182,1.063717857,50.5843,4.4,1738929,8.05E-06,0.005720188
Misiones,9646825.835,6.86395,13.52978759,8.325740262,3.129124442,57.8339,8.1,1101593,1.82E-06,0.002880374
Neuquén,22564106.16,1.94375,9.456634649,11.2672781,1.393503813,48.7431,3.3,551266,9.07E-06,0.00506652
Río Negro,10264584.42,2.03142,8.678390744,14.88544445,0.408042044,49.9463,0.8,638645,9.39E-06,0.00489787
Salta,13438834.91,3.34609,16.87050001,14.18230294,1.48202996,60.423,5.8,1214441,4.12E-06,0.003991137
San Juan,8262308.568,2.96326,9.050783891,3.914390121,3.298412912,52.9684,4.2,681055,5.87E-06,0.005043646
San Luis,11780849.36,3.43365,6.593771006,9.67989418,2.000172429,51.6154,3.8,432310,4.63E-06,0.006102103
Santa Cruz,11663738.04,0.791485,8.024761832,7.41136391,0.289262235,29.2321,3.3,273964,1.10E-05,0.004270634
Santa Fe,81588690.27,1.97594,6.081012414,11.8691952,2.872180713,41.966,2.6,3194537,6.57E-06,0.006671702
Santiago del Estero,8387858.731,6.27209,11.75900014,20.49143316,2.325598083,63.6637,1.7,874006,3.43E-06,0.002821491
Tucumán,13856198.9,3.77037,11.21423921,6.466665287,0.977284733,48.2242,3,1448188,4.83E-06,0.005500667
